data,produto,categoria,regiao,vendedor,vendas,quantidade,custo,lucro
2025-12-07,monitor,periféricos,oeste,Charlie,6673,16,902.4079379985465,5770.592062001453
2024-05-17,teclado,periféricos,sul,Charlie,8224,15,1058.6941255479646,7165.305874452035
2024-02-11,mouse,eletrônicos,leste,elena,9213,6,880.1437122107675,8332.856287789233
2025-03-15,notebook,periféricos,oeste,Charlie,984,9,4908.888908651138,-3924.888908651138
2023-04-09,notebook,periféricos,leste,diana,11164,7,1636.1426070311154,9527.857392968885
2024-11-14,mouse,periféricos,leste,Bob,9260,14,2071.32680532471,7188.67319467529
2024-12-26,headset,eletrônicos,leste,diana,1874,11,1454.6913816794026,419.30861832059736
2025-08-18,monitor,periféricos,norte,paulo,6748,21,7666.055611232145,-918.0556112321447
2024-09-04,mouse,eletrônicos,oeste,Bob,2563,16,6848.570308162536,-4285.570308162536
2024-10-04,monitor,periféricos,norte,Alice,9655,25,1905.5191118240452,7749.4808881759545
2025-10-25,ssd,periféricos,oeste,diana,6143,6,2674.325047863238,3468.674952136762
2024-05-17,notebook,eletrônicos,sul,diana,4648,22,1742.3513110555775,2905.6486889444222
2025-02-05,monitor,periféricos,sul,paulo,2255,27,3975.657598929724,-1720.657598929724
2024-02-02,teclado,periféricos,sul,diana,2718,16,235.31541719608848,2482.6845828039113
2025-05-20,monitor,eletrônicos,oeste,David,9480,20,5397.234630462622,4082.7653695373783
2025-03-05,ssd,periféricos,leste,Alice,359,29,4223.412546555722,-3864.4125465557217
2024-01-28,notebook,eletrônicos,leste,Charlie,9406,16,7197.220312144737,2208.7796878552626
2023-07-26,mouse,eletrônicos,norte,Alice,5061,12,1381.99005988104,3679.00994011896
2025-11-04,ssd,eletrônicos,norte,David,2370,17,6448.545228804162,-4078.5452288041624
2025-06-10,notebook,periféricos,sul,paulo,383,5,6352.331234576389,-5969.331234576389
2025-05-13,monitor,eletrônicos,norte,paulo,942,27,1087.2750185977443,-145.2750185977443
2025-01-12,headset,eletrônicos,oeste,Bob,3260,25,3236.5890552214905,23.410944778509474
2024-07-17,headset,periféricos,oeste,Alice,2316,13,1427.6089178645739,888.3910821354261
2025-10-17,teclado,eletrônicos,norte,elena,8676,8,2097.3863636237875,6578.6136363762125
2023-04-06,notebook,periféricos,norte,elena,9701,24,2164.9097046579113,7536.090295342088
2024-04-29,headset,periféricos,norte,paulo,5343,5,4485.39224068412,857.6077593158798
2023-08-19,mouse,periféricos,norte,diana,1364,12,3338.3745795428867,-1974.3745795428867
2025-01-18,notebook,periféricos,sul,paulo,4569,9,7586.043807729939,-3017.0438077299386
2024-06-24,mouse,eletrônicos,sul,paulo,7464,3,1080.8515242202807,6383.148475779719
2025-11-25,mouse,eletrônicos,norte,paulo,8625,3,7791.641708013574,833.3582919864257
2024-06-08,headset,eletrônicos,oeste,paulo,362,1,1906.6580304969705,-1544.6580304969705
2024-07-31,notebook,eletrônicos,sul,elena,1808,25,6201.161576144276,-4393.161576144276
2024-11-12,monitor,eletrônicos,oeste,elena,5174,22,2764.6418152887454,2409.3581847112546
2024-07-10,ssd,periféricos,leste,Charlie,9759,18,1213.204651705126,8545.795348294874
2025-10-09,headset,eletrônicos,oeste,Charlie,10728,24,6874.48234715022,3853.5176528497796
2024-10-07,headset,eletrônicos,norte,Bob,6067,12,2526.178321952789,3540.821678047211
2025-03-06,monitor,eletrônicos,leste,paulo,5291,9,5298.13480147659,-7.134801476589928
2025-11-17,notebook,periféricos,sul,elena,1944,9,4566.233985886082,-2622.2339858860823
2023-07-09,notebook,periféricos,sul,Alice,6138,18,3816.309970375725,2321.690029624275
2024-09-24,mouse,eletrônicos,leste,David,8446,18,4006.8902233764297,4439.109776623571
2024-09-19,monitor,periféricos,oeste,Bob,5728,29,5879.324279610917,-151.32427961091707
2025-08-30,monitor,eletrônicos,sul,elena,5701,7,775.1614798576493,4925.838520142351
2024-12-10,notebook,eletrônicos,norte,Alice,3995,27,5371.990842706608,-1376.9908427066084
2024-10-10,mouse,periféricos,leste,paulo,7056,4,7174.831843076743,-118.8318430767431
2023-11-14,headset,periféricos,norte,carlos,11634,13,537.6825203973241,11096.317479602676
2024-11-14,teclado,eletrônicos,leste,paulo,528,17,1193.9744467306407,-665.9744467306407
2024-10-25,ssd,eletrônicos,sul,Charlie,3443,24,5755.724938680089,-2312.7249386800886
2024-03-17,headset,periféricos,oeste,David,3479,2,3543.2706540973713,-64.27065409737133
2024-07-17,notebook,eletrônicos,leste,elena,4958,14,3276.105076844412,1681.894923155588
2025-08-09,ssd,periféricos,leste,elena,11780,3,1164.775745590348,10615.224254409652
2024-11-29,teclado,eletrônicos,norte,diana,8087,5,4093.618722484882,3993.381277515118
2023-04-23,teclado,periféricos,sul,David,374,14,1082.2388646753077,-708.2388646753077
2023-01-02,mouse,eletrônicos,norte,diana,887,3,3854.83401397948,-2967.83401397948
2024-10-03,ssd,eletrônicos,sul,David,385,23,6127.833167776321,-5742.833167776321
2023-08-08,mouse,periféricos,norte,Charlie,861,7,2125.453714466335,-1264.453714466335
2025-05-04,headset,eletrônicos,leste,diana,6138,18,3887.82645198344,2250.17354801656
2024-01-20,monitor,eletrônicos,norte,Alice,2038,13,7936.7664776229385,-5898.7664776229385
2025-12-12,monitor,periféricos,oeste,diana,7323,29,5518.271352963975,1804.728647036025
2024-12-30,monitor,eletrônicos,sul,Bob,1409,23,6743.545628737173,-5334.545628737173
2023-09-04,ssd,eletrônicos,sul,Alice,5396,27,3365.593043959522,2030.4069560404778
2025-04-15,monitor,eletrônicos,leste,Bob,7421,22,6161.458511156774,1259.541488843226
2023-07-22,headset,periféricos,sul,paulo,898,10,400.83264969526897,497.16735030473103
2023-05-03,mouse,periféricos,oeste,David,3701,25,1053.4565657345802,2647.54343426542
2024-02-05,ssd,periféricos,norte,Alice,6550,13,1688.319095926892,4861.680904073108
2025-02-05,mouse,eletrônicos,leste,David,6793,16,3263.4592429525387,3529.5407570474613
2023-10-21,ssd,eletrônicos,oeste,paulo,8851,9,6778.299436340044,2072.700563659956
2023-10-07,mouse,eletrônicos,sul,carlos,1973,2,2822.4271222404095,-849.4271222404095
2025-06-02,teclado,eletrônicos,sul,elena,7002,23,5264.599852642466,1737.4001473575336
2023-07-17,mouse,periféricos,oeste,David,11283,5,5697.769214843589,5585.230785156411
2025-09-08,monitor,eletrônicos,norte,paulo,7927,29,4722.564244379664,3204.435755620336
2025-01-21,teclado,eletrônicos,norte,David,4382,22,2909.3563879074786,1472.6436120925214
2023-05-24,mouse,eletrônicos,leste,paulo,6669,17,4650.26246637127,2018.7375336287296
2024-08-31,ssd,periféricos,sul,Bob,10476,23,2790.7434948947903,7685.25650510521
2023-07-06,ssd,eletrônicos,oeste,paulo,1927,22,744.2800093319356,1182.7199906680644
2024-04-08,ssd,eletrônicos,norte,diana,1372,4,7943.007507233234,-6571.007507233234
2024-10-21,notebook,eletrônicos,leste,carlos,7780,17,1087.2850327694864,6692.714967230513
2025-02-02,headset,eletrônicos,sul,David,1927,9,652.9991999815742,1274.0008000184257
2025-08-12,ssd,eletrônicos,sul,paulo,9646,20,7037.963533720675,2608.0364662793254
2024-02-07,teclado,periféricos,leste,paulo,7640,2,2470.5305142717293,5169.46948572827
2023-05-27,ssd,eletrônicos,leste,David,5009,24,5230.35203466218,-221.3520346621799
2025-05-13,notebook,eletrônicos,norte,elena,9043,18,2685.7253789248844,6357.274621075116
2024-05-03,monitor,eletrônicos,oeste,carlos,8268,21,3180.3178246922116,5087.682175307788
2025-07-17,teclado,eletrônicos,sul,carlos,3139,27,2155.9347383730283,983.0652616269717
2024-07-04,notebook,eletrônicos,oeste,paulo,8493,22,2796.908525880641,5696.091474119359
2023-12-04,monitor,eletrônicos,sul,Alice,1475,11,3332.7471726454214,-1857.7471726454214
2025-05-21,teclado,eletrônicos,sul,Bob,9643,13,5785.695267211356,3857.3047327886443
2024-10-02,mouse,eletrônicos,oeste,carlos,10053,8,4131.366658339552,5921.633341660448
2024-04-17,headset,eletrônicos,leste,carlos,5277,27,7553.036519883258,-2276.036519883258
2023-05-31,headset,eletrônicos,norte,Charlie,9148,1,411.69271920310206,8736.307280796898
2023-09-20,notebook,periféricos,sul,diana,2872,17,4064.301115245663,-1192.301115245663
2023-05-24,monitor,periféricos,leste,carlos,4806,12,4707.060327547208,98.93967245279237
2023-12-12,headset,periféricos,sul,Bob,1475,4,7367.960129708249,-5892.960129708249
2024-09-15,monitor,periféricos,norte,diana,4283,21,469.33550708170645,3813.6644929182935
2025-10-13,monitor,eletrônicos,sul,diana,9501,13,4622.116712686911,4878.883287313089
2025-05-30,notebook,periféricos,norte,David,3019,29,6840.74903394142,-3821.74903394142
2023-01-02,notebook,periféricos,norte,David,1392,9,1996.0676067043537,-604.0676067043537
2025-06-15,notebook,eletrônicos,sul,David,8689,27,7020.235400309584,1668.7645996904157
2023-09-11,headset,periféricos,sul,David,1981,7,230.82380145239122,1750.1761985476087
2024-03-28,notebook,periféricos,norte,Charlie,1719,23,5881.040662739139,-4162.040662739139
2025-11-26,headset,eletrônicos,leste,carlos,7396,24,7470.256711655732,-74.25671165573203
2025-10-11,notebook,eletrônicos,oeste,David,2068,5,5285.005480189293,-3217.005480189293
2023-01-09,ssd,eletrônicos,norte,paulo,6566,5,3557.1116123251477,3008.8883876748523
2025-03-26,monitor,periféricos,sul,Alice,3382,17,435.45765046392677,2946.5423495360733
2023-07-27,notebook,periféricos,sul,David,3908,9,7367.301401515219,-3459.3014015152194
2024-02-08,teclado,eletrônicos,leste,carlos,6147,6,3804.746083717272,2342.253916282728
2023-06-01,monitor,eletrônicos,oeste,David,2505,25,309.65421514070823,2195.3457848592916
2023-02-23,monitor,periféricos,norte,Charlie,9739,19,5543.382884923794,4195.617115076206
2024-09-19,notebook,eletrônicos,norte,Bob,11122,16,3896.151048323965,7225.848951676035
2024-08-09,mouse,periféricos,oeste,Bob,1974,21,1064.814914143893,909.185085856107
2023-04-14,notebook,eletrônicos,norte,carlos,10833,2,1777.0327297372557,9055.967270262745
2023-09-11,monitor,eletrônicos,oeste,paulo,7430,10,590.7661892103024,6839.233810789698
2024-05-24,teclado,periféricos,sul,Bob,4210,16,4628.404834491903,-418.4048344919029
2023-04-09,monitor,eletrônicos,oeste,elena,5474,5,5006.4734756759135,467.5265243240865
2023-06-02,teclado,eletrônicos,norte,Bob,554,15,4085.4790029751193,-3531.4790029751193
2025-07-02,headset,eletrônicos,oeste,Alice,1871,13,6551.44889338071,-4680.44889338071
2025-05-27,ssd,periféricos,leste,carlos,5466,13,6899.189864759468,-1433.189864759468
2023-12-04,monitor,eletrônicos,sul,paulo,11167,13,4955.745221730363,6211.254778269637
2025-04-01,notebook,eletrônicos,sul,carlos,3995,15,181.03131928284992,3813.96868071715
2025-08-14,headset,eletrônicos,oeste,Bob,4360,14,5586.218873522066,-1226.2188735220661
2023-06-10,ssd,eletrônicos,norte,Bob,11534,8,3390.5537980091844,8143.446201990815
2025-03-11,notebook,eletrônicos,leste,Bob,214,11,4559.215267152985,-4345.215267152985
2024-02-02,mouse,eletrônicos,sul,diana,9641,18,5220.718367989564,4420.281632010436
2025-03-26,notebook,periféricos,sul,Charlie,6532,24,2853.873985470448,3678.126014529552
2024-02-05,teclado,periféricos,norte,David,9757,4,7343.420160960611,2413.5798390393893
2024-10-01,teclado,eletrônicos,norte,elena,11935,26,1141.080944658267,10793.919055341732
2025-11-22,mouse,periféricos,leste,Charlie,1118,10,5398.373513665816,-4280.373513665816
2024-11-18,headset,periféricos,oeste,carlos,518,1,114.52787325611699,403.472126743883
2024-04-04,ssd,eletrônicos,norte,elena,8574,29,7403.236754809032,1170.7632451909676
2025-08-12,notebook,periféricos,oeste,Alice,2392,5,971.0327352456846,1420.9672647543152
2024-04-14,teclado,periféricos,leste,David,5152,13,831.4831027687911,4320.5168972312085
2025-11-11,headset,periféricos,oeste,Alice,3233,1,2717.420453773774,515.5795462262258
2025-01-19,mouse,periféricos,sul,paulo,8223,23,3038.6449854295183,5184.355014570481
2023-02-07,monitor,periféricos,oeste,diana,9262,8,1777.2565727971987,7484.743427202801
2023-08-18,teclado,periféricos,leste,carlos,9030,3,4714.163554542828,4315.836445457172
2024-07-16,mouse,periféricos,leste,diana,1619,3,3587.8796564923514,-1968.8796564923514
2024-03-13,notebook,periféricos,leste,carlos,4875,7,350.6706652054123,4524.329334794587
2023-01-27,ssd,eletrônicos,oeste,Alice,4409,4,2611.644333061981,1797.355666938019
2023-08-14,teclado,eletrônicos,sul,Alice,3772,3,6498.62867549951,-2726.62867549951
2025-03-08,teclado,periféricos,norte,Alice,10442,15,5542.4361561059995,4899.5638438940005
2023-10-11,notebook,periféricos,sul,carlos,10607,8,5820.977160352653,4786.022839647347
2025-05-28,monitor,eletrônicos,oeste,Bob,973,3,5609.086038741507,-4636.086038741507
2025-08-17,headset,periféricos,oeste,Alice,3581,29,2542.9063293536237,1038.0936706463763
2024-03-28,ssd,periféricos,norte,diana,6678,7,869.3382628480649,5808.661737151935
2025-10-16,teclado,eletrônicos,oeste,paulo,4301,18,2237.9400975421204,2063.0599024578796
2025-03-26,ssd,eletrônicos,leste,David,4363,11,6667.739577466462,-2304.739577466462
2024-10-20,teclado,eletrônicos,leste,carlos,7570,11,7845.328718441923,-275.32871844192323
2024-06-30,ssd,periféricos,leste,elena,9139,17,3991.268356753166,5147.731643246834
2025-12-08,mouse,periféricos,leste,diana,929,28,156.82681099049438,772.1731890095057
2023-01-17,teclado,eletrônicos,leste,Charlie,11192,6,1189.154912103094,10002.845087896905
2023-06-07,ssd,eletrônicos,oeste,paulo,3042,8,2630.878156504825,411.1218434951752
2024-04-21,headset,periféricos,norte,Charlie,5684,1,4662.395960856162,1021.6040391438382
2025-12-05,mouse,eletrônicos,norte,David,10235,29,674.7416747780867,9560.258325221914
2024-06-01,mouse,periféricos,leste,Bob,3456,10,7551.389805782263,-4095.3898057822626
2023-04-09,headset,periféricos,oeste,Alice,3052,28,2971.4626924124536,80.53730758754637
2025-11-26,ssd,eletrônicos,sul,carlos,3868,25,7307.6670059645985,-3439.6670059645985
2023-10-07,notebook,eletrônicos,sul,diana,171,19,6261.732677835613,-6090.732677835613
2024-05-11,headset,periféricos,oeste,elena,1650,3,6063.0631983234025,-4413.0631983234025
2023-10-29,ssd,eletrônicos,leste,Alice,9184,4,4885.219071875277,4298.780928124723
2023-06-30,headset,eletrônicos,norte,diana,10102,11,5044.1278310506095,5057.8721689493905
2024-08-29,headset,eletrônicos,oeste,carlos,3791,15,5132.985622912685,-1341.9856229126854
2024-11-30,teclado,eletrônicos,sul,Charlie,5362,1,5059.473385242611,302.5266147573893
2025-09-19,ssd,periféricos,sul,Alice,341,9,4465.527592675021,-4124.527592675021
2023-07-10,notebook,periféricos,sul,David,8737,11,7892.39902638448,844.6009736155202
2023-09-10,teclado,periféricos,leste,Bob,7324,19,5879.741294011513,1444.2587059884872
2025-09-07,headset,periféricos,sul,David,5264,13,6233.415396068767,-969.4153960687672
2025-07-16,monitor,eletrônicos,oeste,Bob,4812,26,6989.9054954627,-2177.9054954627
2023-05-08,headset,eletrônicos,oeste,paulo,4476,16,1787.8669207887253,2688.133079211275
2023-01-18,headset,periféricos,sul,diana,9215,4,743.7289400328814,8471.271059967119
2024-07-19,ssd,periféricos,oeste,Alice,10963,1,3904.5239378609012,7058.476062139099
2024-07-23,ssd,eletrônicos,sul,Alice,4485,20,4151.519109304643,333.4808906953567
2024-11-16,teclado,periféricos,sul,paulo,8431,13,6647.119697203349,1783.8803027966514
2024-09-17,notebook,periféricos,norte,Bob,10621,1,3594.765947916099,7026.234052083901
2025-05-03,teclado,eletrônicos,leste,Charlie,8798,5,4601.155962310957,4196.844037689043
2025-08-19,mouse,periféricos,leste,carlos,10622,5,4254.40183302659,6367.59816697341
2023-06-04,headset,eletrônicos,norte,David,9346,14,382.56604735853716,8963.433952641462
2024-05-04,monitor,eletrônicos,norte,paulo,5644,27,4952.501981047559,691.4980189524413
2025-02-23,headset,periféricos,leste,elena,8686,23,6638.102823332078,2047.8971766679224
2023-09-03,headset,eletrônicos,sul,elena,2861,14,1327.4043407603663,1533.5956592396337
2025-11-28,teclado,periféricos,sul,diana,7745,8,4787.107332698639,2957.892667301361
2025-01-28,monitor,eletrônicos,leste,paulo,6423,4,4781.3955120156015,1641.6044879843985
2024-06-21,monitor,periféricos,sul,David,6434,7,1380.3449153263612,5053.655084673639
2025-07-09,monitor,periféricos,norte,David,10804,20,1057.8315039474292,9746.16849605257
2024-02-12,teclado,periféricos,sul,diana,9458,19,7842.0113883737595,1615.9886116262405
2024-06-08,headset,eletrônicos,sul,diana,8967,15,3198.255823652057,5768.744176347943
2025-04-07,teclado,eletrônicos,oeste,Alice,10321,22,1881.180091490352,8439.819908509648
2025-06-21,ssd,periféricos,oeste,David,4144,4,1436.8903920786497,2707.1096079213503
2023-02-05,ssd,eletrônicos,oeste,carlos,1828,19,5367.405571579222,-3539.405571579222
2024-11-15,teclado,periféricos,sul,elena,8564,9,4906.806754832048,3657.193245167952
2023-01-20,monitor,periféricos,leste,carlos,893,21,5176.932814060347,-4283.932814060347
2023-11-17,headset,eletrônicos,norte,Bob,612,13,777.0077378907018,-165.00773789070183
2024-05-26,teclado,periféricos,sul,paulo,1718,14,7156.79390130762,-5438.79390130762
2024-02-04,teclado,eletrônicos,leste,diana,11689,23,3162.9898627276625,8526.010137272337
2024-10-15,teclado,periféricos,sul,Alice,1886,28,2561.885698928435,-675.885698928435
2025-08-29,mouse,eletrônicos,norte,carlos,8053,14,3741.9026622020942,4311.097337797906
2024-04-15,ssd,periféricos,sul,Charlie,7152,22,3169.323240721216,3982.676759278784
2025-04-13,monitor,periféricos,norte,elena,9006,10,6919.5298648620355,2086.4701351379645
2024-12-27,notebook,eletrônicos,sul,Alice,1506,16,7439.746923567305,-5933.746923567305
2025-05-03,monitor,periféricos,norte,Alice,1164,5,2483.349474280881,-1319.3494742808812
2023-02-20,notebook,periféricos,sul,carlos,10474,23,6922.371595082842,3551.628404917158
2024-07-28,mouse,eletrônicos,norte,Charlie,11010,27,6269.663185901892,4740.336814098108
2023-05-30,teclado,periféricos,oeste,Bob,1204,6,7451.996764970513,-6247.996764970513
2023-11-10,mouse,eletrônicos,sul,carlos,1914,26,2026.3424725122316,-112.34247251223155
2024-07-23,mouse,periféricos,sul,Charlie,6159,2,4649.516468958154,1509.4835310418457
2023-11-01,headset,eletrônicos,leste,Alice,4608,13,2254.3931111443217,2353.6068888556783
2024-11-12,ssd,periféricos,leste,elena,11211,29,6606.828364636244,4604.171635363756
2025-04-17,notebook,periféricos,norte,Charlie,9754,13,122.16758932282892,9631.83241067717
2025-12-13,teclado,periféricos,sul,Alice,817,19,4553.3677700602575,-3736.3677700602575
2025-09-29,notebook,eletrônicos,norte,paulo,3520,18,2766.4911756735905,753.5088243264095
2024-03-19,monitor,eletrônicos,oeste,carlos,6126,28,2635.654960056336,3490.345039943664
2024-09-04,notebook,eletrônicos,leste,diana,1544,19,5187.658085010143,-3643.6580850101427
2025-09-19,monitor,eletrônicos,norte,carlos,8440,1,6823.756838566832,1616.243161433168
2023-09-21,ssd,periféricos,norte,paulo,4220,8,4904.8274998351435,-684.8274998351435
